,v1 (price only),v4 (price+insider),momentum 20d,SPY buy & hold
2023-05-12,97218.64117003062,89772.67888110032,91839.2344418274,87622.27365850001
2023-05-15,97697.65205753062,90822.99814410032,92225.16695982743,87922.83365849999
2023-05-16,96028.67572253064,89462.10837860033,92122.66695982742,87337.1836585
2023-05-17,98393.5165295306,90290.4283786003,92730.82808032741,88393.56365849999
2023-05-18,98988.54096753061,91624.33960260032,93964.8087203274,89242.2036585
2023-05-19,98548.63531103064,91437.25242510033,93564.4487203274,89114.02365850001
2023-05-22,98554.86876103061,91403.14242510032,93153.1687203274,89149.3836585
2023-05-23,97355.63364601249,90189.74242510032,91597.71647382742,88152.6736585
2023-05-24,96722.5035585125,88738.8393599044,91553.99909182741,87516.1936585
2023-05-25,97125.83238351249,90782.3429099044,92975.13351405048,88272.0136585
2023-05-26,97507.1185935125,91360.10271490441,93648.07613405047,89410.1636585
2023-05-30,97212.2585935125,90910.74393090441,93051.5049526746,89443.31365849999
2023-05-31,96883.6288910125,90154.5679254044,92403.6995572262,88950.4836585
2023-06-01,97881.47368332646,89926.849384793,93891.08069472619,89792.4936585
2023-06-02,99684.02255282647,92502.109834793,94967.5270777262,91085.34365849999
2023-06-05,99054.68764582647,91460.86448879297,94784.5765726894,90912.9636585
2023-06-06,99989.52902082648,92196.98536879299,96311.3530226894,91109.6536585
2023-06-07,100132.3377652404,93096.31536879299,95914.83120039655,90795.83365849999
2023-06-08,100273.32393924042,92849.39536879298,97357.93983789654,91341.7036585
2023-06-09,100579.0968932404,92364.110946793,98093.5509766142,91505.2436585
2023-06-12,100853.5928832404,92571.54263429297,99190.6562256142,92333.9936585
2023-06-13,100977.3176777404,93680.28775379297,100967.0474236142,92939.5336585
2023-06-14,101548.79767774041,94182.55054679299,100705.8161616142,93050.0336585
2023-06-15,102403.3707052404,95010.89931679299,102020.6075331142,94199.2336585
2023-06-16,102659.82612774041,95080.74614779298,101112.49753311422,93880.9936585
2023-06-20,103070.9908077404,94749.44582829297,101751.9578931142,93394.7936585
2023-06-21,103032.2777312404,94766.53300829299,100253.67163211422,92917.4336585
2023-06-22,103592.95339224042,94958.88440829297,100703.03999661418,93251.14365849999
2023-06-23,102229.89553024042,94467.86440829297,100157.3617201142,92548.36365849999
2023-06-26,102460.6376417404,94319.19420286924,97922.8769116142,92172.6636585
2023-06-27,103666.76648224039,94568.99411136922,101107.8769536142,93180.4236585
2023-06-28,103422.3104477404,93769.76878836921,102643.71263213313,93226.83365849999
2023-06-29,103518.8252392404,94469.29359986924,102827.92040713313,93593.6936585
2023-06-30,104526.71523924041,95614.18465036924,104658.59528113314,94694.27365850001
2023-07-03,104569.11774474042,95793.80303186923,105799.14287579722,94802.56365849999
2023-07-05,103853.1217222404,95424.35977536923,105298.02599124503,94661.1236585
2023-07-06,102743.2739897404,94567.55701936923,103689.44586824502,93922.9836585
2023-07-07,103135.5946557404,94583.82072336924,104360.08893674503,93686.5136585
