,"3 folds (2022-24, as shipped)","6 folds (2019-24, extended)",SPY over 2022-24,SPY over 2019-24
2022-02-28,98401.8684400705,141056.27625007535,91107.4436585,184907.027125
2022-03-01,96485.6026280705,139217.2362927373,89726.1936585,182094.527125
2022-03-02,98505.60874487263,142554.0848330436,91370.4336585,185442.527125
2022-03-03,98397.61592654846,141112.47251655732,90917.3836585,184520.027125
2022-03-04,96968.88688273155,138903.34883694557,90181.4536585,183021.527125
2022-03-07,94736.74385780962,135355.97558375093,87531.6636585,177626.027125
2022-03-08,95110.19497416423,135472.31000621518,86870.8736585,176280.527125
2022-03-09,97808.7644174142,139588.97983621518,89191.3736585,181005.527125
2022-03-10,97987.18319126438,138709.6411137152,88789.1536585,180186.527125
2022-03-11,96611.21321389114,136732.29220449663,87664.2636585,177896.027125
2022-03-14,95788.41720122402,136230.90985023172,87025.5736585,176595.527125
2022-03-15,97164.858761896,139497.42811823174,88932.80365850001,180479.027125
2022-03-16,98790.18475087312,143245.1513374553,90897.4936585,184479.527125
2022-03-17,100765.40815937312,145440.6702088508,92031.2236585,186788.027125
2022-03-18,101459.04158178132,148033.09977170549,93036.77365850001,188835.527125
2022-03-21,102516.74334830377,148278.67310708333,93008.0436585,188777.027125
2022-03-22,103192.06794345065,149403.45196468718,94093.1536585,190986.527125
2022-03-23,103162.79624346759,147905.52087518718,92886.4936585,188529.527125
2022-03-24,104105.11235582849,149421.8100080735,94281.0036585,191369.027125
2022-03-25,105091.79526837546,150082.52369634333,94740.6836585,192305.027125
2022-03-28,104916.16205537543,150326.21496334334,95397.05365850001,193641.527125
2022-03-29,106491.28893702119,152215.27247779333,96583.8236585,196058.027125
2022-03-30,106324.54522552121,150271.23211538504,96011.4336585,194892.527125
2022-03-31,105159.00511543501,147506.95958321166,94521.89365849999,191859.527125
2022-04-01,105656.997188935,147055.57729492735,94787.09365849999,192399.527125
2022-04-04,105698.701575435,147516.61119938013,95598.1636585,194051.027125
2022-04-05,104566.70478243503,145209.35989706425,94393.7136585,191598.527125
2022-04-06,104002.11712089842,144372.98678243157,93452.2536585,189681.527125
2022-04-07,104402.19309539843,144463.81268263375,93922.9836585,190640.027125
2022-04-08,104766.8629633984,144939.48880813376,93671.0436585,190127.027125
2022-04-11,103814.68394006218,143378.12402519755,92075.4236585,186878.027125
2022-04-12,103483.23887801438,142995.14815369755,91737.2936585,186189.527125
2022-04-13,104504.35448251436,144661.40023769753,92782.6236585,188318.027125
2022-04-14,103368.55953951439,142530.54305339511,91631.2136585,185973.527125
2022-04-18,103258.85526814149,143546.63268201362,91668.7836585,186050.027125
2022-04-19,105347.88205914148,146618.23003201358,93145.06365849999,189056.027125
2022-04-20,105861.2942846415,146261.1264396942,93076.55365850001,188916.527125
2022-04-21,104256.7963446415,142462.94949413257,91688.6736585,186090.527125
2022-04-22,102320.1233636415,139213.9596804781,89180.3236585,180983.027125
2022-04-25,101959.64942669071,139503.96426209336,89697.4636585,182036.027125
2022-04-26,100328.68507569068,136255.52800093917,87107.34365849999,176762.027125
2022-04-27,101103.69618491268,136817.00988535155,87352.6536585,177261.527125
2022-04-28,102585.07722541266,140878.74540135154,89551.6036585,181739.027125
2022-04-29,100364.82969869947,136617.4004003624,86252.0736585,175020.527125
2022-05-02,100130.25171212424,138733.39435388462,86769.2136585,176073.527125
2022-05-03,101174.03238842287,140814.32862344774,87167.0136585,176883.527125
2022-05-04,103532.89432400918,145377.04069058408,89812.3836585,182270.027125
2022-05-05,101606.06643500917,141100.59234008408,86629.9836585,175790.027125
2022-05-06,101856.90063974613,140570.74458484308,86115.05365850001,174741.527125
2022-05-09,100072.28156438819,137437.69526200645,83368.02365850001,169148.027125
2022-05-10,99598.26143888816,137421.7786718449,83560.2936585,169539.527125
2022-05-11,99371.26874738815,136255.92722504202,82238.7136585,166848.527125
2022-05-12,99581.61590538814,135574.02552447014,82152.52365850001,166673.027125
2022-05-13,102714.95549318098,138996.85222597013,84108.3736585,170655.527125
2022-05-16,102661.30133439897,139428.57911212128,83768.0336585,169962.527125
2022-05-17,104227.56753143111,141738.7538617034,85485.2036585,173459.027125
2022-05-18,100187.14003827443,137064.2017933426,82053.0736585,166470.527125
2022-05-19,100265.17173649928,137787.4682655926,81551.4036585,165449.027125
2022-05-20,100341.0496894993,137245.86415659258,81586.7636585,165521.027125
2022-05-23,101567.4656550918,139729.12993734388,83107.2436585,168617.027125
2022-05-24,101103.83331517738,138440.79743911236,82475.1836585,167330.027125
2022-05-25,102579.9412866774,141128.6454276273,83202.27365850001,168810.527125
2022-05-26,104362.52772245153,144719.03806305805,84857.56365849999,172181.027125
2022-05-27,105832.32741454558,147026.20087380917,86932.7536585,176406.527125
2022-05-31,105285.93920483463,147711.82944532836,86446.55365850001,175416.527125
2022-06-01,104360.92406733465,146556.10400965103,85750.4036585,173999.027125
2022-06-02,104667.31056133466,147846.64285292593,87365.9136585,177288.527125
2022-06-03,104180.39744510027,146243.0506509259,85949.30365850001,174404.027125
2022-06-06,104348.56446260028,146711.0471754578,86210.08365849999,174935.027125
2022-06-07,105492.22847160029,147832.83122745776,87032.2036585,176609.027125
2022-06-08,103746.93017760027,146757.16165895775,86090.7436585,174692.027125
2022-06-09,101445.9611286003,143982.24220355216,84050.9136585,170538.527125
2022-06-10,100638.58099060028,141979.41665337296,81622.1236585,165593.027125
2022-06-13,97829.15528341262,138595.01809639577,78534.7536585,159306.527125
2022-06-14,96844.93207592246,139295.63440533637,78300.4936585,158829.527125
2022-06-15,96951.48443536773,140685.43777183638,79412.1236585,161093.027125
2022-06-16,93557.47373449372,136148.29818870022,76793.27365850001,155760.527125
2022-06-17,92400.54844050374,135965.95204853587,76959.02365850001,156098.027125
2022-06-21,94003.10577950375,138888.45614603587,78888.3536585,160026.527125
2022-06-22,92520.18576450377,137405.03808850545,78744.7036585,159734.027125
2022-06-23,91618.70625586288,135875.49497530263,79513.7836585,161300.027125
2022-06-24,93155.6916767034,138224.17589080264,82033.1836585,166430.027125
2022-06-27,94551.31935205752,140601.96599180266,81719.36365849999,165791.027125
2022-06-28,95551.15858205753,141974.10856030264,80057.4436585,162407.027125
2022-06-29,93241.17298555752,139066.27766030258,79991.14365849999,162272.027125
2022-06-30,92243.9136786089,137388.68945663646,79345.8236585,160958.027125
2022-07-01,93031.83998953298,138652.14398863647,80181.2036585,162659.027125
2022-07-05,90222.75474834713,134320.55157992922,80331.4836585,162965.027125
2022-07-06,89360.48016087175,132557.7676719739,80601.1036585,163514.027125
2022-07-07,91163.0378463718,136418.6990790126,81803.34365849999,165962.027125
2022-07-08,91166.49047837178,136464.85940201255,81737.0436585,165827.027125
2022-07-11,90368.61835737177,134818.44467201259,80806.6336585,163932.527125
2022-07-12,89080.89140137177,132576.314217043,80095.0136585,162483.527125
2022-07-13,88959.91226837177,132478.677357043,79675.11365849999,161628.527125
2022-07-14,86820.98607691213,129543.41217508078,79482.84365849999,161237.027125
2022-07-15,87911.16929333299,131610.20448858078,80994.4836585,164315.027125
2022-07-18,88318.94279133297,133816.19472658078,80329.27365850001,162960.527125
2022-07-19,90538.67434564047,138158.9597348582,82490.6536585,167361.527125
2022-07-20,90447.30446146373,137554.0347221691,83014.4236585,168428.027125
2022-07-21,90026.46233446374,136855.26004166907,83856.4336585,170142.527125
2022-07-22,89688.85647272161,136339.8175219735,83082.9336585,168567.527125
2022-07-25,91003.9932942216,139322.0776589735,83182.3836585,168770.027125
2022-07-26,90816.25077072158,139339.65592818885,82201.14365849999,166772.027125
2022-07-27,92290.9726779917,141414.74162618883,84327.1636585,171101.027125
2022-07-28,93247.59374136064,141805.72294490848,85374.7036585,173234.027125
2022-07-29,94148.73083936067,143856.91138732166,86621.14365849999,175772.027125
2022-08-01,93759.27476816066,143197.99525480514,86366.9936585,175254.527125
2022-08-02,93040.7635852056,142812.55907680513,85799.02365850001,174098.027125
2022-08-03,92447.13609820558,142163.30591480515,87138.2836585,176825.027125
2022-08-04,91323.29112497796,140142.52187952853,87078.61365849999,176703.527125
2022-08-05,92428.33263947797,141901.79035403306,86932.7536585,176406.527125
2022-08-08,92948.66708847796,142765.25998303312,86831.09365849999,176199.527125
2022-08-09,94257.94902867837,144492.14232453308,86488.5436585,175502.027125
2022-08-10,94747.92055427845,145329.42892353307,88298.5336585,179187.527125
2022-08-11,95293.55601727843,146725.96946546505,88298.5336585,179187.527125
2022-08-12,96268.78956727844,148245.58858146504,89788.0736585,182220.527125
2022-08-15,96480.65450927842,148351.12577996502,90154.9336585,182967.527125
2022-08-16,96707.66611677842,148763.47077246505,90331.7336585,183327.527125
2022-08-17,96342.57915350106,149308.36482198388,89693.0436585,182027.027125
2022-08-18,97127.0123978201,150319.55783909914,89953.8236585,182558.027125
2022-08-19,97484.87613843422,151444.36569386855,88749.3736585,180105.527125
2022-08-22,96917.15142193422,150400.94790086854,86906.2336585,176352.527125
2022-08-23,97817.5877305393,150233.84649753707,86698.4936585,175929.527125
2022-08-24,98896.98234107546,150405.7942300371,86974.7436585,176492.027125
2022-08-25,100078.42040732349,150832.83395153706,88196.8736585,178980.527125
2022-08-26,97621.64199282351,147365.2349345371,85222.2136585,172923.527125
2022-08-29,97764.0510523235,146033.38392553705,84660.8736585,171780.527125
2022-08-30,96041.65201932349,144927.52971766423,83734.8836585,169895.027125
2022-08-31,95447.14396460497,144212.18436616423,83100.61365849999,168603.527125
2022-09-01,94144.70073135704,144149.9491113285,83361.39365849999,169134.527125
2022-09-02,94482.21526285703,142998.1000468285,82484.02365850001,167348.027125
2022-09-06,94143.29996335703,143019.4674373285,82174.6236585,166718.027125
2022-09-07,94659.1484630287,144307.7134827161,83644.27365850001,169710.527125
2022-09-08,95205.9781166279,145148.4681252161,84190.14365849999,170822.027125
2022-09-09,96843.11111960022,146953.3987027161,85494.0436585,173477.027125
2022-09-12,98210.95898810022,148925.8072737161,86408.9836585,175340.027125
2022-09-13,95926.78188410022,143612.8374422161,82665.2436585,167717.027125
2022-09-14,97455.68671860176,144019.8464796695,82979.06365849999,168356.027125
2022-09-15,95508.80096666732,142712.5116397515,82039.81365849999,166443.527125
2022-09-16,94148.4326118152,142380.46623756742,81416.59365849999,165174.527125
2022-09-19,94420.84932831519,142999.17855663903,82046.4436585,166457.027125
2022-09-20,93203.8702238152,142179.37848313904,81107.1936585,164544.527125
2022-09-21,92071.5827763152,140307.3235802682,79699.4236585,161678.027125
2022-09-22,90805.13617947127,139515.3899102682,79032.0036585,160319.027125
2022-09-23,88666.23446256568,137891.41365446668,77712.6336585,157632.527125
2022-09-26,87512.36005765194,136326.60625146673,76947.9736585,156075.527125
2022-09-27,87298.56350313593,136648.62638470263,76751.2836585,155675.027125
2022-09-28,89567.5551212485,140492.44341320262,78256.2936585,158739.527125
2022-09-29,88731.67202446071,139022.66703871317,76627.52365850001,155423.027125
2022-09-30,88003.02735396072,137995.12102546316,75447.3836585,153020.027125
2022-10-03,91063.66417128511,142126.6535195939,77431.9636585,157061.027125
2022-10-04,93384.39199521887,146433.9088155315,79820.9736585,161925.527125
2022-10-05,92681.2268738587,144650.57684312327,79635.33365849999,161547.527125
2022-10-06,91273.08191883923,141399.9332851233,78817.6336585,159882.527125
2022-10-07,89629.6187554134,137566.3518693477,76627.52365850001,155423.027125
2022-10-10,89180.00154849025,137074.0912088976,76046.2936585,154239.527125
2022-10-11,88854.12397511912,136861.2256416465,75566.7236585,153263.027125
2022-10-12,87626.66320101134,134874.7687983012,75316.9936585,152754.527125
2022-10-13,88975.27614157817,136974.6402410122,77297.1536585,156786.527125
2022-10-14,86736.7222290782,133871.2559230122,75542.4136585,153213.527125
2022-10-17,88440.7512110782,137025.71872076223,77476.1636585,157151.027125
2022-10-18,89600.3250175782,139227.78781326217,78382.2636585,158996.027125
2022-10-19,88887.59177807819,138465.6235557622,77829.7636585,157871.027125
2022-10-20,88056.28019297527,137245.3440657622,77180.02365850001,156548.027125
2022-10-21,89149.55007793388,139217.73632334464,79047.4736585,160350.527125
2022-10-24,89898.88940693387,140342.94743485298,80011.0336585,162312.527125
2022-10-25,91009.38998073184,143661.7302943316,81281.7836585,164900.027125
2022-10-26,91711.14742073184,142488.7531330754,80671.8236585,163658.027125
2022-10-27,92183.1944112768,142386.77155157542,80243.08365849999,162785.027125
2022-10-28,94193.64043240051,144609.92522850202,82145.89365849999,166659.527125
2022-10-31,94387.34954578009,144146.135259002,81553.61365849999,165453.527125
2022-11-01,94436.92516728006,144143.65359900205,81197.80365850001,164729.027125
2022-11-02,93224.8804378708,140822.53499737725,79169.02365850001,160598.027125
2022-11-03,92958.8709798708,141117.56010924053,78357.9536585,158946.527125
2022-11-04,93830.30998124916,141104.88637105506,79480.6336585,161232.527125
2022-11-07,94310.85987343654,142010.44662369436,80236.4536585,162771.527125
2022-11-08,94606.07078093654,142782.772955823,80669.61365849999,163653.527125
2022-11-09,93306.28082825989,139996.46428211356,79012.11365849999,160278.527125
2022-11-10,95963.75760102383,144201.68617353478,83337.08365849999,169085.027125
2022-11-11,95106.71237674309,144626.65462960908,84141.52365850001,170723.027125
2022-11-14,94480.14984532811,143697.23115997182,83427.6936585,169269.527125
2022-11-15,94614.01742056031,144098.94384847183,84137.1036585,170714.027125
2022-11-16,94522.62839656029,144425.6738484718,83498.4136585,169413.527125
2022-11-17,94312.74675429745,144895.54681997185,83242.05365850001,168891.527125
2022-11-18,95118.4056722975,145791.90924697177,83619.9636585,169661.027125
2022-11-21,94969.74828040917,146265.0344269718,83317.1936585,169044.527125
2022-11-22,95805.48903190918,147358.86047597183,84433.2436585,171317.027125
2022-11-23,95677.5579799092,147472.4984534718,84963.64365849999,172397.027125
2022-11-25,96068.95809090919,148139.8608629718,84943.7536585,172356.527125
2022-11-28,94629.59236840918,146834.9388199718,83593.4436585,169607.027125
2022-11-29,94854.5927604092,147073.99627697183,83452.0036585,169319.027125
2022-11-30,96695.78190190918,148977.23795947182,86070.8536585,174651.527125
2022-12-01,96387.51285190634,147965.12448523418,86006.7636585,174521.027125
2022-12-02,96657.15323490635,149264.24949023416,85907.31365849999,174318.527125
2022-12-05,94900.59241836169,146828.42365223414,84369.1536585,171186.527125
2022-12-06,94107.30102520969,144420.93795233686,83155.86365849999,168716.027125
2022-12-07,94155.76725872708,144421.9703302472,83016.6336585,168432.527125
2022-12-08,94020.28950572705,143667.9958577472,83664.1636585,169751.027125
2022-12-09,92822.30915372708,141471.75299377236,83040.9436585,168482.027125
2022-12-12,93888.16816122709,143497.01708177238,84234.34365849999,170912.027125
2022-12-13,94264.69934972707,143756.80162482907,84868.61365849999,172203.527125
2022-12-14,94643.74698572708,143050.62695232907,84329.3736585,171105.527125
