,v1  CLS price,—   CLS price+v3,v4  CLS price+insider,—   CLS price+v3+insider,v2  REG price,v3  REG price+v3,—   REG price+insider,—   REG price+v3+insider,mom 20d,SPY
2022-11-25,94994.99143886592,104960.423746745,105364.72916581576,106181.49214513124,83519.8381918303,114127.3699419185,84332.83467917905,107065.2760003169,92258.26590203526,84943.7536585
2022-11-28,93266.23673436593,103622.164445245,103163.90108944374,104507.53073263125,81767.6069278303,112077.85194191849,82346.20280867904,104518.720354172,91279.51541453523,83593.4436585
2022-11-29,93872.18833986593,103449.97950374501,102856.18842544373,104360.55919563124,81955.19141183031,112230.70281741851,83667.48580867903,106653.66967517199,91477.07515253524,83452.0036585
2022-11-30,95066.34864236593,106751.67791724499,105791.44973144375,107773.86723263124,83155.46774083031,115540.2817309185,86379.44280867903,109390.40972667199,93613.33282253523,86070.8536585
2022-12-01,95086.88872686592,106063.58430925242,106264.21973144372,107924.31723263123,83272.85103483031,116362.4509669185,86676.31770897904,110083.00420217199,94024.18690061773,86006.7636585
2022-12-02,95698.89360686592,106062.07833125241,106482.30973144372,108028.69723263125,83521.66229683031,115550.24403331851,87200.98828397905,110008.78045517197,94568.24530411772,85907.31365849999
2022-12-05,94188.49360686593,103553.39680437863,105036.59695844374,106203.92723263123,82435.99860483033,113063.41201471933,84853.40414665588,106538.82208962845,94135.14992261773,84369.1536585
2022-12-06,93076.60059398596,101519.76351368122,104035.16897194376,104719.08723263125,81156.75860483032,111456.70380021934,82884.71847215587,104469.05641451303,91742.85992261773,83155.86365849999
2022-12-07,93145.26579385989,101885.22905018124,104361.48897194375,104517.97723263124,81280.5350308303,110799.36521095427,82807.61654815589,104180.55710201304,91630.31857011771,83016.6336585
2022-12-08,92641.1692088599,103275.3293221812,105448.27897194374,105937.49723263126,81431.09235183032,111597.29774395426,83600.73543465589,104678.21287911518,92360.17392461772,83664.1636585
2022-12-09,91395.66739685988,102546.57217618122,104377.45105194373,105288.17412713125,80813.58465976123,110371.7712962455,83417.06797065589,104206.14358711518,91139.29834211772,83040.9436585
2022-12-12,92685.98464685987,104052.36568618123,105456.85359944373,107044.09250213126,81346.09507426122,112472.7036957455,84251.37555065588,106097.25358711516,91840.49277142636,84234.34365849999
2022-12-13,92746.09245585988,104791.23373918123,106713.75295994374,108263.55590613125,82006.13139426123,113986.3013037455,85235.52297565588,108978.74419161517,92515.60755792637,84868.61365849999
2022-12-14,93370.35723835988,103998.28486268123,106888.30103694375,107364.36519613126,82096.79166676122,113739.10581574551,84822.66297565587,107717.42241861517,92314.16494092636,84329.3736585
2022-12-15,93056.01969785987,103247.34757418123,104657.16938494374,107105.92370863125,80644.31996226122,111703.9406399455,82105.12297565588,106465.22466057114,90434.37400294715,82274.0736585
2022-12-16,91897.99962793438,101080.82025657034,103617.90304603247,106176.79370863124,80751.99275776121,111234.46063994551,81503.67204489718,106065.02657657115,90005.91443009693,81306.09365849999
2022-12-19,90928.55715243438,100069.46692298414,103352.66942653249,105016.75537370393,80249.27524726122,109924.62668494553,80798.34994006803,105339.80458002501,88899.85718509695,80618.7836585
2022-12-20,91118.73715243436,100219.45589048415,103631.00456903248,104878.58492038655,80433.51464926121,110505.3341169455,80508.1100071927,105555.993039525,88784.11041353371,80729.2836585
2022-12-21,92474.99314843438,101966.37589048414,105481.37712903247,106706.18162288654,81321.17464926121,111984.04411694552,81544.4747411927,107397.60213552501,90239.79321853373,81931.52365850001
2022-12-22,91215.13842543439,101411.76033548413,103932.49712903246,104705.21162288653,80328.73068976123,110745.8765594455,80956.5330471927,105882.493295025,89358.2938685337,80766.8536585
2022-12-23,91623.07050493438,102309.91746248414,104308.22712903247,105574.26162288654,80404.46226426122,111328.48779394549,81438.26834169269,107150.893303025,89244.64985203369,81230.9536585
2022-12-27,90221.40103166246,102835.90904098414,104332.47425827681,105201.65700254474,80301.65472932866,111355.60608694551,81121.0411986927,106632.510025525,88799.24000909692,80910.5036585
2022-12-28,89287.8783922278,101392.05966891901,103186.98147827681,104169.72820604472,79502.05454982867,109607.00257326709,80086.7211986927,106046.27249245839,87927.07209059692,79909.3736585
2022-12-29,90234.49702568697,104559.26500491903,104114.4686882768,105692.9335728617,80425.19936282866,111683.0249917671,81707.4611986927,108425.8702550258,89035.34348859689,81341.4536585
2022-12-30,90215.16366518696,104032.764489919,104348.91773377679,105592.51336836172,80207.37787632865,111084.59717126709,81215.5211986927,107990.5520970258,88296.0734885969,81129.2936585
2023-01-03,90187.22647318695,102982.56306841904,103168.48004027677,103521.18636386172,80571.25957782865,110384.91242426708,82254.54119869269,108518.7410250258,89060.59205092219,80788.9536585
2023-01-04,90977.06095568696,105379.82650978473,104564.31853206924,104596.4963638617,81298.07759182865,111571.02242426708,83797.29688592127,109753.3027274318,90616.38661192221,81409.9636585
2023-01-05,90711.93256768696,103596.50477278476,104732.67172755025,102133.79279573023,81426.72051432866,109581.81052626709,83027.54724342126,109255.6268629318,90179.4894859222,80483.9736585
2023-01-06,93082.66138413116,105134.39019278473,107521.66561505024,104483.54558423022,83133.20051432865,111886.08267826706,84219.64565897736,112260.7469749318,91985.36157592217,82322.6936585
2023-01-09,92548.98488913117,104986.31019278473,107232.10561505024,105278.67747086813,81885.63051432866,113370.95267826707,83379.46530647736,112090.567575581,91437.39157592217,82276.2836585
2023-01-10,93033.90770631841,105168.22019278475,108116.89811173553,105969.47452186815,82425.85364432866,113793.87233226708,83810.16515397736,112882.697615581,91952.34993292217,82850.8836585
2023-01-11,93017.93296481842,106292.96019278473,107939.64673073553,106803.14198255743,82385.14841182866,114302.52518226707,84624.19922397737,113851.57245558099,91417.99125342218,83894.0036585
2023-01-12,92438.07812531843,106034.17486478474,107993.52949473554,107933.94951455743,82267.05650332865,115234.1240253495,85013.51880097736,114352.25415408099,91861.44296142217,84198.9836585
2023-01-13,92563.05713781841,105674.14142828475,107690.60804079162,107996.49657455742,82643.27556482865,115178.8305828495,84763.24880097737,114527.374154081,92367.59962142218,84523.8536585
2023-01-17,92383.0624328184,105697.45859378474,106482.1032527916,108193.57156605742,82552.74508282865,115344.9198357931,84430.42880097736,113851.53885658098,92021.38368142217,84369.1536585
2023-01-18,91175.02433831841,104345.49714258753,105277.93206379161,107369.94797748831,81273.90966882865,113270.19201779309,83044.74880097737,111597.44058408098,90566.9209245765,83043.1536585
2023-01-19,90557.08745431843,103598.82436758751,104986.56272379162,107387.31462398832,80733.87008657146,113903.19830729309,82817.91880097738,111389.02054358099,89446.73732055159,82439.8236585
2023-01-20,90656.61614915643,103809.4840720875,104762.8161647916,107247.9646239883,82258.71255757146,114301.59830729308,83132.03498997736,112313.51665308097,91106.80096055158,83971.3536585
2023-01-23,90565.94752865644,103831.34535258752,104918.05714979161,107431.5141909883,84723.44145722112,114528.60830729306,84142.31092872737,114687.95310508097,92333.97454655159,84974.6936585
2023-01-24,91034.22086680538,104513.16336950567,104709.01333279655,107631.71744556059,84046.38208622113,113358.67107633298,85137.50099706196,113784.67236608098,91713.8089585516,84884.08365849999
2023-01-25,91824.4233538054,105061.74025700566,105581.73515879654,108183.94179156057,83613.11208622111,113513.78226433297,86254.81488006198,113974.75181608099,92830.28579360012,84915.02365850001
2023-01-26,92204.72857480537,104535.98025700565,106749.35515879656,109057.68499156057,83751.42717622113,114650.38558433298,86579.32704506197,114414.18439108097,93770.67367860011,85845.4336585
2023-01-27,91651.05737980537,103567.32195800565,106013.31515879655,108458.19499156058,84794.91647623986,115904.05773933296,86843.14270406196,115931.56219808098,94677.41661360011,86042.1236585
2023-01-30,91709.02729480539,104121.01343200564,105051.59600379653,107817.06572156056,83214.58269323985,115485.53817233298,84908.70643806196,113513.14138208097,92367.75912960009,84965.8536585
2023-01-31,92472.93173180541,105155.52192200566,105949.38755329655,108724.14985656056,85911.91526420851,117727.81640933295,86434.37643806197,115761.96138208096,93031.4338316001,86210.08365849999
2023-02-01,92381.78547080538,105006.45100450565,105465.16825929654,107979.39684006058,88977.29927811396,119631.6714042437,88150.44332785328,118264.78144022789,96193.1132441887,87122.81365849999
2023-02-02,90946.70783830539,103214.41828250566,103272.12978240201,105291.68272424245,91622.75643685614,121677.58151947436,89581.57657452722,122801.86985615944,98894.54108761242,88386.9336585
2023-02-03,90584.78151830539,102850.64502250565,103196.597434402,105322.41602024244,91556.93522684272,119607.82608872437,89648.38391513463,122235.27503302976,96920.30054961241,87449.89365849999
2023-02-06,90659.48759830538,103470.21684650565,102534.104041902,106010.51602024243,90521.37025559272,118161.18166822437,88536.37982845698,121002.9429130297,97299.44437801241,86917.2836585
2023-02-07,90788.16269330538,103400.30350750565,103435.63040040199,105977.95461624244,91685.1102555927,118575.52452972437,89392.75373045699,122230.97291302973,99681.90334918509,88051.0136585
2023-02-08,90583.65392280539,103780.22366150563,102644.69578290201,105936.90190374246,90525.1277069382,117010.00783964661,87556.07334295698,120753.23291302974,98559.35978868509,87091.8736585
2023-02-09,90303.4219033054,103182.96339900566,101804.298710402,105518.93426424246,89501.9196789382,116095.38811064661,86319.25865695698,118927.37920981989,98557.09157909044,86338.2636585
2023-02-10,90654.69013730538,104662.48339900566,102121.47871040198,105600.64426424247,89298.59500693821,116904.4313626466,84926.18135855257,119488.62230481992,96360.15355419797,86539.3736585
2023-02-13,91537.2942183054,105057.36288850564,103573.77871040201,106640.91426424244,90402.2548374382,117646.5457146466,86469.56122130255,120873.3613928199,97690.64178769798,87551.55365850001
2023-02-14,90933.20560691413,104112.89142950566,103629.748710402,106392.49426424246,90637.54483743822,117809.93571464662,86905.61122130256,121798.16479281991,100079.83198769797,87511.77365850001
2023-02-15,91287.4947319141,103836.60421300566,103447.16871040201,106549.07426424244,91376.0048374382,118481.22720098536,87291.03122130255,122953.28321831272,100299.74684769794,87794.6536585
2023-02-16,91248.7495479141,103318.57299300566,103202.61439140202,106376.98694174246,91724.5157289382,117927.44392148536,86030.60901130254,120569.34957881272,97665.38684769796,86590.2036585
2023-02-17,90231.07716991409,104641.27428250565,102614.99819390202,106502.57964548403,91751.92675968821,116591.14589148536,85071.56713064965,118479.26488988346,96404.92966761545,86375.83365849999
2023-02-21,88963.91227683259,104059.84086050566,100838.96641840202,105460.544896484,89199.22944214025,113761.66097105856,82768.26564099781,116262.65304638348,93423.70189411547,84649.8236585
2023-02-22,87923.49124958337,104227.57728700564,100929.32225490203,105645.56489648401,90015.54646064025,114855.46595808581,82786.53599144999,116389.70955038346,93123.64882342037,84532.6936585
2023-02-23,87778.04634858336,103781.03877850564,102260.8811157056,105746.56195948402,89968.88646064025,115201.88047058582,83601.79729882382,118702.62602123458,94791.11723754766,84981.3236585
2023-02-24,87003.58634858337,102234.1284167021,101721.52391020562,105080.76826398404,89161.54877264026,113519.1204705858,82463.26391632382,117217.58797772805,94118.23698004766,84075.2236585
2023-02-27,87131.98836658336,101350.40640102715,102841.0332432056,105009.23413748402,89435.59887296967,114546.02047058579,82431.13302948751,117595.82888818232,94788.44996454766,84362.52365850001
2023-02-28,86382.9516120551,100835.43416702717,103164.5632432056,103662.32513248402,89751.65894850508,114502.4687719607,82350.79606548752,117862.54936818231,95098.06561454767,84050.9136585
2023-03-01,86765.11654155508,101260.27020502713,103092.1632432056,103254.95369698401,89689.13615650506,113624.6673279607,82430.05543648753,117477.70936818232,94685.91510354765,83730.4636585
2023-03-02,86959.3295850551,102147.01294302713,104220.57324320561,104744.94369698402,89453.71615650509,114892.88732796072,82870.42232848753,117403.74642018232,95314.45002554766,84377.9936585
2023-03-03,88217.36468755509,102787.39712402715,105775.60031808412,105701.81369698401,91413.66980491139,117832.08732796072,84514.29594348752,119868.85970218232,97982.99048554765,85726.09365849999
2023-03-06,88060.90266255509,102664.07734952716,105368.70603408411,105578.48697198402,90965.79205991139,116364.51732796071,83934.89594348751,118301.65244418231,97207.86327778293,85785.7636585
2023-03-07,86979.88199855511,101018.10661402714,104963.68148058411,104808.40166848402,90884.37672091139,113183.81087546074,83245.14579348752,117604.31016968234,96226.80523228293,84475.2336585
2023-03-08,86669.38181255509,100732.21000802715,104972.26918258413,104673.43961198401,90682.74154541138,113546.42657639831,83232.16997948752,116990.84770649741,97042.89246428292,84612.2536585
2023-03-09,85690.1655860551,99702.14538852713,103266.93531119266,103071.059611984,89660.02516093689,111087.14652884097,81734.30858548752,114720.60097437062,95591.78704893104,83058.6236585
2023-03-10,83843.1052670551,99432.35896932169,102281.44789638306,102964.66033898402,87500.738050524,107268.2844507031,80338.50156727893,112300.27207458799,94653.36821893105,81863.0136585
2023-03-13,82858.46671201458,99383.08649432169,101328.57912104885,102167.41520566386,87783.08301778384,108268.94837341821,77905.08892274581,111866.66156476049,94573.73327743108,81748.09365849999
2023-03-14,82802.42952601457,99783.63101882167,102246.67689604883,102580.65461116385,87903.62256528385,105980.44302907723,75383.60165565534,111980.62742879381,96333.79901343105,83093.9836585
2023-03-15,81177.39616045082,97161.79720186765,100610.53952404484,101536.11843316387,86926.304985809,105647.43048522648,75824.2125777149,112620.56601379381,95387.22595994448,82576.84365849999
2023-03-16,82678.87382645083,99343.10479436767,101598.42469604487,102798.92173466385,87226.762217809,106462.26348513899,75909.48287386532,113577.46256675915,96636.23670844447,84019.9736585
2023-03-17,81625.54810245082,97575.01561436766,100205.41469604487,101418.09173466387,85883.73702580901,102916.97485713896,73811.34146536533,110898.01123625913,94932.75570259697,83040.9436585
2023-03-20,83158.44810245083,98857.01561436764,101154.68469604487,102957.45173466385,86214.40711880902,103658.98485713899,74863.71046536531,112236.29123625915,95206.67113759698,83836.5436585
2023-03-21,84358.87810245084,100006.21561436765,101166.03973304486,103103.00173466383,87936.801829309,108295.26485713899,78154.59046536533,114297.75123625914,96275.49113759697,84932.7036585
2023-03-22,82650.14810245082,98280.35802236765,99708.18514704485,102103.01417166385,86189.18444130899,103922.57211035785,75177.00482836532,111922.10516175914,95361.50029876054,83489.5736585
